left_eye_263,left_eye_387,left_eye_385,left_eye_362,left_eye_380,left_eye_373,right_eye_133,right_eye_158,right_eye_160,right_eye_33,right_eye_144,right_eye_153,right_eye_144,mouth_78,mouth_82,mouth_312,mouth_308,mouth_317,mouth_87,head_10,head_152
"[0.6310314536094666, 0.25629621744155884, 0.05678124725818634]","[0.6146661043167114, 0.24949581921100616, 0.04135916754603386]","[0.5909166932106018, 0.24858170747756958, 0.035529620945453644]","[0.5675164461135864, 0.256168931722641, 0.03890973702073097]","[0.5904859304428101, 0.2604219615459442, 0.033841777592897415]","[0.6146687269210815, 0.26064348220825195, 0.04004121199250221]","[0.4814950227737427, 0.25662359595298767, 0.029672445729374886]","[0.4569200575351715, 0.24937844276428223, 0.022680183872580528]","[0.4325961470603943, 0.25080153346061707, 0.024279646575450897]","[0.4146113097667694, 0.25773701071739197, 0.036696657538414]","[0.4335746467113495, 0.26180610060691833, 0.023084677755832672]","[0.4584900140762329, 0.26110735535621643, 0.021153457462787628]","[0.4335746467113495, 0.26180610060691833, 0.023084677755832672]","[0.48345041275024414, 0.3423580527305603, -0.03519622981548309]","[0.5210827589035034, 0.33470994234085083, -0.050172097980976105]","[0.5435053706169128, 0.3343782424926758, -0.04758969694375992]","[0.5758083462715149, 0.3409930467605591, -0.02538566291332245]","[0.5452603101730347, 0.3375093638896942, -0.04929538071155548]","[0.5198155641555786, 0.337782621383667, -0.051998186856508255]","[0.5243796110153198, 0.1887257993221283, 0.04524244740605354]","[0.5299873948097229, 0.40414363145828247, -0.043944042176008224]"
"[0.6334274411201477, 0.25329330563545227, 0.05919729173183441]","[0.6173000335693359, 0.2470797449350357, 0.04351350665092468]","[0.5945132970809937, 0.2463279366493225, 0.037329744547605515]","[0.5724907517433167, 0.25333404541015625, 0.040336135774850845]","[0.5945785045623779, 0.25693613290786743, 0.03583952784538269]","[0.6177468299865723, 0.25707677006721497, 0.04242940992116928]","[0.48846200108528137, 0.25332513451576233, 0.02901185303926468]","[0.46478161215782166, 0.2466120421886444, 0.02153274603188038]","[0.44163811206817627, 0.24794991314411163, 0.022438129410147667]","[0.4234454929828644, 0.25426948070526123, 0.03432179242372513]","[0.4419117271900177, 0.25772735476493835, 0.021602576598525047]","[0.46595582365989685, 0.25719550251960754, 0.02017928659915924]","[0.4419117271900177, 0.25772735476493835, 0.021602576598525047]","[0.48608148097991943, 0.33975327014923096, -0.03462476655840874]","[0.5253205299377441, 0.33166664838790894, -0.05070146173238754]","[0.5489241480827332, 0.3314368724822998, -0.047226063907146454]","[0.5807636976242065, 0.3386833965778351, -0.02223171666264534]","[0.549673855304718, 0.3347906470298767, -0.048034172505140305]","[0.524168074131012, 0.3350449800491333, -0.05164619907736778]","[0.530957818031311, 0.18153312802314758, 0.04434338957071304]","[0.5334493517875671, 0.4039648771286011, -0.04545462504029274]"
"[0.6372567415237427, 0.254326730966568, 0.06527025252580643]","[0.6212633848190308, 0.24806614220142365, 0.04943392425775528]","[0.5990820527076721, 0.24700501561164856, 0.04273686930537224]","[0.57716965675354, 0.25322791934013367, 0.04479990154504776]","[0.5991021990776062, 0.2572479248046875, 0.0406574010848999]","[0.6220661997795105, 0.25770077109336853, 0.04771222174167633]","[0.49298152327537537, 0.2524636387825012, 0.031007520854473114]","[0.46941399574279785, 0.2461138218641281, 0.023236926645040512]","[0.44644176959991455, 0.2473522275686264, 0.02355526201426983]","[0.4273076057434082, 0.2534092664718628, 0.0348147451877594]","[0.44622287154197693, 0.2567470669746399, 0.022278092801570892]","[0.4704684019088745, 0.2562715411186218, 0.02144077606499195]","[0.44622287154197693, 0.2567470669746399, 0.022278092801570892]","[0.4891963005065918, 0.33771848678588867, -0.040163472294807434]","[0.5299330949783325, 0.32962703704833984, -0.05427228659391403]","[0.5541791915893555, 0.3297801613807678, -0.04978874325752258]","[0.5857471823692322, 0.33806687593460083, -0.02461222931742668]","[0.5547164678573608, 0.332483172416687, -0.051831088960170746]","[0.5288698673248291, 0.33238524198532104, -0.05643836408853531]","[0.5361840128898621, 0.1795627772808075, 0.05416148155927658]","[0.5382415652275085, 0.40287086367607117, -0.055129583925008774]"
"[0.6410966515541077, 0.25387439131736755, 0.06649930030107498]","[0.62546306848526, 0.24750636518001556, 0.050741683691740036]","[0.6034864783287048, 0.2464454025030136, 0.04385758936405182]","[0.5817512273788452, 0.2527574896812439, 0.04554622247815132]","[0.6034995913505554, 0.2567720115184784, 0.04165108501911163]","[0.626175582408905, 0.25720125436782837, 0.0488644614815712]","[0.4984493553638458, 0.25178927183151245, 0.030702078714966774]","[0.475297212600708, 0.24523025751113892, 0.02291046269237995]","[0.45248597860336304, 0.24640095233917236, 0.02292807586491108]","[0.4333333969116211, 0.25249290466308594, 0.03382473438978195]","[0.45211607217788696, 0.25580841302871704, 0.02151048183441162]","[0.47615015506744385, 0.2554793655872345, 0.020945867523550987]","[0.45211607217788696, 0.25580841302871704, 0.02151048183441162]","[0.49408426880836487, 0.3364574909210205, -0.0408959724009037]","[0.5352998375892639, 0.328260600566864, -0.05457833781838417]","[0.5598624348640442, 0.3283992409706116, -0.04973703995347023]","[0.5907385945320129, 0.3367694318294525, -0.02401379495859146]","[0.5601551532745361, 0.3312923312187195, -0.051614608615636826]","[0.534225583076477, 0.33117374777793884, -0.05663058161735535]","[0.540859580039978, 0.17898088693618774, 0.055527158081531525]","[0.5441495776176453, 0.40124648809432983, -0.056545209139585495]"
"[0.6454441547393799, 0.25379109382629395, 0.06928524374961853]","[0.6300392150878906, 0.24738046526908875, 0.05349905416369438]","[0.6082178354263306, 0.24621793627738953, 0.046337224543094635]","[0.586413562297821, 0.2522384822368622, 0.047446273267269135]","[0.6081497669219971, 0.2564249634742737, 0.04378413408994675]","[0.630715548992157, 0.25699546933174133, 0.051303181797266006]","[0.5036107897758484, 0.25085508823394775, 0.03107362985610962]","[0.48058825731277466, 0.24429690837860107, 0.023192502558231354]","[0.45780348777770996, 0.24536238610744476, 0.022783493623137474]","[0.43841078877449036, 0.25139859318733215, 0.03320993855595589]","[0.45723026990890503, 0.25475671887397766, 0.021124444901943207]","[0.4813094437122345, 0.254500150680542, 0.020977571606636047]","[0.45723026990890503, 0.25475671887397766, 0.021124444901943207]","[0.4993327856063843, 0.3349030017852783, -0.04329490661621094]","[0.540947675704956, 0.32633382081985474, -0.05614023655653]","[0.565448522567749, 0.3265613913536072, -0.05074966326355934]","[0.5958757400512695, 0.33553627133369446, -0.024606971070170403]","[0.5657461881637573, 0.32981887459754944, -0.05248375982046127]","[0.5397887825965881, 0.3295968472957611, -0.058095432817935944]","[0.5462573170661926, 0.1791570782661438, 0.05945891514420509]","[0.5492645502090454, 0.39987483620643616, -0.05982770025730133]"
"[0.6488171815872192, 0.2537645399570465, 0.07078465819358826]","[0.633749783039093, 0.24702829122543335, 0.05517882853746414]","[0.6120308637619019, 0.2457324117422104, 0.04794378578662872]","[0.5900719165802002, 0.25201156735420227, 0.04867078736424446]","[0.6117779016494751, 0.2563192546367645, 0.04503820464015007]","[0.6342366337776184, 0.2569589614868164, 0.05267228186130524]","[0.5079778432846069, 0.2500292956829071, 0.031691774725914]","[0.4851624369621277, 0.2428092658519745, 0.023931849747896194]","[0.4623037576675415, 0.24364295601844788, 0.023272760212421417]","[0.442708820104599, 0.24984514713287354, 0.03333500400185585]","[0.4614487588405609, 0.2535141408443451, 0.0213440153747797]","[0.485536128282547, 0.253494530916214, 0.02143239416182041]","[0.4614487588405609, 0.2535141408443451, 0.0213440153747797]","[0.5022426247596741, 0.3336604833602905, -0.044724129140377045]","[0.5441716313362122, 0.32478728890419006, -0.0572676844894886]","[0.5688499212265015, 0.3251151144504547, -0.05159171298146248]","[0.5985413789749146, 0.33469289541244507, -0.02499603107571602]","[0.5689665675163269, 0.32911989092826843, -0.05295673757791519]","[0.5429332852363586, 0.3287634253501892, -0.0589238665997982]","[0.5518346428871155, 0.1787905991077423, 0.06221086531877518]","[0.5515007972717285, 0.39900821447372437, -0.06223596632480621]"
"[0.6505297422409058, 0.2531619071960449, 0.0705438107252121]","[0.6358001232147217, 0.2461191862821579, 0.05527736246585846]","[0.6142505407333374, 0.24472171068191528, 0.04821207374334335]","[0.5924267768859863, 0.2511959969997406, 0.048826638609170914]","[0.6139777898788452, 0.2556249797344208, 0.045116592198610306]","[0.6361767053604126, 0.256357878446579, 0.05261929705739021]","[0.5113100409507751, 0.2489466667175293, 0.03223320469260216]","[0.48884454369544983, 0.2413545548915863, 0.024726349860429764]","[0.46609944105148315, 0.24215029180049896, 0.024034397676587105]","[0.44662365317344666, 0.24853698909282684, 0.033907920122146606]","[0.465015172958374, 0.2523069381713867, 0.021999655291438103]","[0.4888960123062134, 0.25237491726875305, 0.022063588723540306]","[0.465015172958374, 0.2523069381713867, 0.021999655291438103]","[0.5047905445098877, 0.3328665792942047, -0.045308150351047516]","[0.5461755990982056, 0.3238002359867096, -0.057666879147291183]","[0.5701932907104492, 0.32418808341026306, -0.05207879841327667]","[0.5990001559257507, 0.33419471979141235, -0.025881972163915634]","[0.5704007744789124, 0.3286547362804413, -0.053343720734119415]","[0.5447056889533997, 0.3282269537448883, -0.05924538895487785]","[0.5550650954246521, 0.17874133586883545, 0.06361529976129532]","[0.5528141856193542, 0.39834457635879517, -0.06271544098854065]"
"[0.6533763408660889, 0.25344642996788025, 0.07209264487028122]","[0.6389960646629333, 0.24626369774341583, 0.05673660337924957]","[0.6177127361297607, 0.2447085976600647, 0.04944082349538803]","[0.596056342124939, 0.25090232491493225, 0.04972834885120392]","[0.6173529028892517, 0.2554885745048523, 0.046227481216192245]","[0.6392850875854492, 0.2564176321029663, 0.05398497357964516]","[0.5152504444122314, 0.24808233976364136, 0.0319611132144928]","[0.49313032627105713, 0.24046489596366882, 0.02429225482046604]","[0.47044169902801514, 0.2411377876996994, 0.023260943591594696]","[0.45070746541023254, 0.24744859337806702, 0.03285152092576027]","[0.46917903423309326, 0.2512054741382599, 0.02119867317378521]","[0.49296626448631287, 0.25135791301727295, 0.021542731672525406]","[0.46917903423309326, 0.2512054741382599, 0.02119867317378521]","[0.5079504251480103, 0.33128461241722107, -0.046318791806697845]","[0.5499534606933594, 0.3225862681865692, -0.05797727406024933]","[0.5738171339035034, 0.3231440484523773, -0.05201980099081993]","[0.601875901222229, 0.33322009444236755, -0.025558510795235634]","[0.5738231539726257, 0.32721349596977234, -0.05353648215532303]","[0.548344075679779, 0.3266136348247528, -0.059873174875974655]","[0.5601670145988464, 0.17860832810401917, 0.06465829163789749]","[0.5548291802406311, 0.397221177816391, -0.06391778588294983]"
"[0.6563370227813721, 0.25396662950515747, 0.07498246431350708]","[0.6423786878585815, 0.24681967496871948, 0.05945662781596184]","[0.6214691996574402, 0.24511994421482086, 0.05175706371665001]","[0.6001231074333191, 0.250902384519577, 0.05155640468001366]","[0.6211749911308289, 0.2555612027645111, 0.048381201922893524]","[0.6427290439605713, 0.25665172934532166, 0.05659983307123184]","[0.5194291472434998, 0.24761511385440826, 0.0318271666765213]","[0.4975191354751587, 0.24016405642032623, 0.023814279586076736]","[0.4748460054397583, 0.2407764494419098, 0.022250959649682045]","[0.4547692537307739, 0.24691501259803772, 0.03139880672097206]","[0.4735569953918457, 0.2506111264228821, 0.02014525979757309]","[0.49733254313468933, 0.2507460117340088, 0.020967314019799232]","[0.4735569953918457, 0.2506111264228821, 0.02014525979757309]","[0.5132561326026917, 0.33071500062942505, -0.04857759177684784]","[0.5559485554695129, 0.3221387267112732, -0.05879171937704086]","[0.5794130563735962, 0.3227612376213074, -0.052184950560331345]","[0.6064819097518921, 0.3329031765460968, -0.02549630217254162]","[0.5795985460281372, 0.32640206813812256, -0.05380835384130478]","[0.5544781684875488, 0.32573190331459045, -0.060817115008831024]","[0.564886212348938, 0.17865517735481262, 0.06705649197101593]","[0.5599281191825867, 0.39623191952705383, -0.06609861552715302]"
"[0.6588724851608276, 0.25356513261795044, 0.07581175118684769]","[0.6455022096633911, 0.24619992077350616, 0.060689181089401245]","[0.6250454783439636, 0.24437913298606873, 0.05319000780582428]","[0.603626012802124, 0.2502410411834717, 0.05269020050764084]","[0.6243462562561035, 0.25492730736732483, 0.04948226734995842]","[0.6455190181732178, 0.2561410665512085, 0.057631127536296844]","[0.524541437625885, 0.24657432734966278, 0.03290828689932823]","[0.503059446811676, 0.23874972760677338, 0.02522166073322296]","[0.48061317205429077, 0.23924888670444489, 0.02343287505209446]","[0.4606509208679199, 0.24551427364349365, 0.03213486447930336]","[0.4792182743549347, 0.24928230047225952, 0.021086636930704117]","[0.5027414560317993, 0.2495373636484146, 0.022008445113897324]","[0.4792182743549347, 0.24928230047225952, 0.021086636930704117]","[0.5171394944190979, 0.32856565713882446, -0.04978033900260925]","[0.559663712978363, 0.3203054666519165, -0.059141773730516434]","[0.5828122496604919, 0.32102471590042114, -0.05259812995791435]","[0.6097849607467651, 0.33115509152412415, -0.026768505573272705]","[0.5830646753311157, 0.3239244520664215, -0.05490529164671898]","[0.55841463804245, 0.32312560081481934, -0.06187710165977478]","[0.5699999332427979, 0.17925283312797546, 0.07038478553295135]","[0.5629901885986328, 0.3948046565055847, -0.06992805749177933]"
