left_eye_362,left_eye_385,left_eye_386,left_eye_387,left_eye_263,left_eye_373,left_eye_374,left_eye_380,right_eye_133,right_eye_158,right_eye_159,right_eye_160,right_eye_33,right_eye_144,right_eye_145,right_eye_153,mouth_78,mouth_82,mouth_312,mouth_308,mouth_317,mouth_87,head_10,head_152
"[0.5912595987319946, 0.3369821310043335, 0.022708090022206306]","[0.6191760301589966, 0.3304830491542816, 0.01546638272702694]","[0.6330212354660034, 0.3305222988128662, 0.01634594053030014]","[0.64693683385849, 0.33244767785072327, 0.019801679998636246]","[0.6637234091758728, 0.33857467770576477, 0.03640475496649742]","[0.6415151953697205, 0.3419354557991028, 0.021136557683348656]","[0.6275514960289001, 0.34185683727264404, 0.017097150906920433]","[0.6143385767936707, 0.34073734283447266, 0.016424715518951416]","[0.49524328112602234, 0.3343501687049866, 0.021626364439725876]","[0.4672398567199707, 0.32634133100509644, 0.013870280236005783]","[0.4533029794692993, 0.32575154304504395, 0.014357376843690872]","[0.43916019797325134, 0.3270041346549988, 0.017529578879475594]","[0.42158839106559753, 0.33222800493240356, 0.03403450921177864]","[0.4442465007305145, 0.33692121505737305, 0.019190091639757156]","[0.45836955308914185, 0.33758121728897095, 0.015424217097461224]","[0.47175148129463196, 0.33715853095054626, 0.014941501431167126]","[0.47957292199134827, 0.424221396446228, -0.009845178574323654]","[0.5252488851547241, 0.42477816343307495, -0.034267354756593704]","[0.556991696357727, 0.4255194664001465, -0.03412167355418205]","[0.6024808883666992, 0.4273577630519867, -0.009380905888974667]","[0.5586748123168945, 0.42643600702285767, -0.03597281128168106]","[0.5249421000480652, 0.42555269598960876, -0.03587877377867699]","[0.5425736308097839, 0.27056586742401123, 0.009420637972652912]","[0.5381519794464111, 0.4876141846179962, -0.0139310946688056]"
"[0.590753972530365, 0.33598366379737854, 0.027134310454130173]","[0.6182851195335388, 0.3302359879016876, 0.019769273698329926]","[0.631512463092804, 0.3303223252296448, 0.020481282845139503]","[0.645053505897522, 0.33211010694503784, 0.02411869913339615]","[0.6633114814758301, 0.33784741163253784, 0.04108487814664841]","[0.6423269510269165, 0.3409825265407562, 0.024956518784165382]","[0.6284250020980835, 0.341071754693985, 0.02077079564332962]","[0.615022599697113, 0.34006527066230774, 0.02024051547050476]","[0.49519845843315125, 0.33423835039138794, 0.02760220691561699]","[0.4686383605003357, 0.3275738060474396, 0.02033855952322483]","[0.4556397795677185, 0.327144980430603, 0.02104312740266323]","[0.4420781135559082, 0.3284144699573517, 0.02477446012198925]","[0.42355281114578247, 0.3334202170372009, 0.04183046519756317]","[0.4442899227142334, 0.337302029132843, 0.025594932958483696]","[0.4579274654388428, 0.3379063308238983, 0.021458381786942482]","[0.47114238142967224, 0.33740049600601196, 0.02085522934794426]","[0.4760485887527466, 0.42318934202194214, -0.014163138344883919]","[0.5212091207504272, 0.42266395688056946, -0.04001133516430855]","[0.5540329813957214, 0.4234549403190613, -0.040171440690755844]","[0.6011397242546082, 0.42632755637168884, -0.01473273802548647]","[0.5548179149627686, 0.4235020577907562, -0.042302291840314865]","[0.5212810039520264, 0.422691285610199, -0.041915543377399445]","[0.5458398461341858, 0.26029691100120544, 0.02082139626145363]","[0.5361188650131226, 0.4864889979362488, -0.028858384117484093]"
"[0.5909895896911621, 0.33528921008110046, 0.026494180783629417]","[0.618927538394928, 0.32952094078063965, 0.01928900182247162]","[0.6322799324989319, 0.32974597811698914, 0.020254705101251602]","[0.6456350684165955, 0.3316602408885956, 0.02423003874719143]","[0.6632111072540283, 0.3373686671257019, 0.04200079292058945]","[0.6426452994346619, 0.34032800793647766, 0.0253702774643898]","[0.6289040446281433, 0.3404487371444702, 0.020914284512400627]","[0.6154075264930725, 0.339447021484375, 0.020101765170693398]","[0.4958183765411377, 0.3332589864730835, 0.024554653093218803]","[0.46884685754776, 0.32632145285606384, 0.016328562051057816]","[0.455576628446579, 0.3259373903274536, 0.016767794266343117]","[0.44184207916259766, 0.32727760076522827, 0.02021697536110878]","[0.4231337606906891, 0.33229607343673706, 0.0371972918510437]","[0.44438695907592773, 0.3362199664115906, 0.02148919552564621]","[0.4581480026245117, 0.3368658125400543, 0.01759454235434532]","[0.4715086817741394, 0.3363993763923645, 0.01730494387447834]","[0.47827112674713135, 0.42397746443748474, -0.014026055112481117]","[0.5240062475204468, 0.4234562814235687, -0.03864594176411629]","[0.5564478039741516, 0.42418819665908813, -0.03774977847933769]","[0.6016247868537903, 0.4267842173576355, -0.011279038153588772]","[0.556950032711029, 0.4251635670661926, -0.03855356574058533]","[0.5235748291015625, 0.4243905544281006, -0.03932684659957886]","[0.5471105575561523, 0.2589923143386841, 0.016422530636191368]","[0.5371389389038086, 0.48743152618408203, -0.023422615602612495]"
"[0.5888888835906982, 0.3348180949687958, 0.026759404689073563]","[0.6164870858192444, 0.32901278138160706, 0.01947660557925701]","[0.629759669303894, 0.3291744589805603, 0.0202866792678833]","[0.6431382894515991, 0.33102700114250183, 0.024097390472888947]","[0.6609989404678345, 0.3367081880569458, 0.04148257151246071]","[0.6402843594551086, 0.3397122025489807, 0.025143733248114586]","[0.6265290379524231, 0.33987095952033997, 0.02082020975649357]","[0.6131158471107483, 0.33890947699546814, 0.020156050100922585]","[0.4944145679473877, 0.3332235813140869, 0.025740833953022957]","[0.4677673280239105, 0.32652294635772705, 0.01788712665438652]","[0.45469576120376587, 0.32622793316841125, 0.018434597179293633]","[0.4411678910255432, 0.3276410698890686, 0.021936969831585884]","[0.42251354455947876, 0.3327171206474304, 0.038919847458601]","[0.44349342584609985, 0.3364035487174988, 0.02310066483914852]","[0.4570838510990143, 0.3370191752910614, 0.019133523106575012]","[0.4703000783920288, 0.3364967703819275, 0.01870313473045826]","[0.4757631719112396, 0.42407599091529846, -0.014179536141455173]","[0.5210954546928406, 0.4232940673828125, -0.039084311574697495]","[0.5533593893051147, 0.4239331781864166, -0.03860112279653549]","[0.5988213419914246, 0.4265638589859009, -0.012749199755489826]","[0.553823709487915, 0.424521267414093, -0.03984163701534271]","[0.5206464529037476, 0.4238406717777252, -0.04015219211578369]","[0.5449001789093018, 0.25829118490219116, 0.018509775400161743]","[0.5340915322303772, 0.487695574760437, -0.02579098381102085]"
"[0.588988184928894, 0.3344530463218689, 0.026946881785988808]","[0.6169307827949524, 0.3283350467681885, 0.01969296671450138]","[0.6303938031196594, 0.3284621238708496, 0.020507974550127983]","[0.6439443230628967, 0.3303449749946594, 0.024357575923204422]","[0.6619248986244202, 0.33620771765708923, 0.04183941334486008]","[0.6409175992012024, 0.33937421441078186, 0.02538721263408661]","[0.6270076632499695, 0.3395368754863739, 0.021026907488703728]","[0.613456130027771, 0.33856794238090515, 0.02033556066453457]","[0.4937373101711273, 0.332926481962204, 0.02578148804605007]","[0.46688389778137207, 0.32595810294151306, 0.017900031059980392]","[0.4536517262458801, 0.3256279528141022, 0.018429305404424667]","[0.43996262550354004, 0.32707804441452026, 0.021915161982178688]","[0.42122283577919006, 0.3323451280593872, 0.038933780044317245]","[0.44242221117019653, 0.3361828327178955, 0.023028993979096413]","[0.4561502933502197, 0.33679160475730896, 0.01905827969312668]","[0.4694715738296509, 0.3362502157688141, 0.018648196011781693]","[0.4754127264022827, 0.4246920645236969, -0.014252915978431702]","[0.5209282040596008, 0.42378196120262146, -0.039306797087192535]","[0.5534358024597168, 0.4243828058242798, -0.0388091541826725]","[0.5992175936698914, 0.4270161986351013, -0.012686365284025669]","[0.5538418889045715, 0.4252321720123291, -0.03990484029054642]","[0.520400881767273, 0.4245854318141937, -0.040238041430711746]","[0.544461190700531, 0.25758081674575806, 0.018388113006949425]","[0.5340887904167175, 0.4885154962539673, -0.02558101713657379]"
"[0.588379442691803, 0.33422231674194336, 0.026650289073586464]","[0.6162395477294922, 0.3280262351036072, 0.019491203129291534]","[0.629632830619812, 0.32814133167266846, 0.02035582810640335]","[0.643114447593689, 0.33003196120262146, 0.024227747693657875]","[0.6609733700752258, 0.3359653055667877, 0.04172335937619209]","[0.6400892734527588, 0.33910974860191345, 0.02529992163181305]","[0.6262463927268982, 0.3392776846885681, 0.020931823179125786]","[0.6127508878707886, 0.3383122980594635, 0.020175494253635406]","[0.493708074092865, 0.33264264464378357, 0.02512665092945099]","[0.4668973982334137, 0.3256158232688904, 0.017172593623399734]","[0.45372626185417175, 0.325278639793396, 0.017644556239247322]","[0.4401059150695801, 0.32673248648643494, 0.02108321152627468]","[0.42145511507987976, 0.3320388197898865, 0.0380244143307209]","[0.4425811171531677, 0.3358258605003357, 0.022274835035204887]","[0.45626288652420044, 0.3364485800266266, 0.01836380921304226]","[0.46956443786621094, 0.3359254002571106, 0.017972253262996674]","[0.4745645523071289, 0.4239750802516937, -0.013604060746729374]","[0.5204301476478577, 0.42349955439567566, -0.03865446895360947]","[0.5531054735183716, 0.4241538643836975, -0.037979606539011]","[0.5991061329841614, 0.4265548884868622, -0.011615104973316193]","[0.5534172654151917, 0.4247473478317261, -0.03934910520911217]","[0.5199692845344543, 0.42405423521995544, -0.03986712545156479]","[0.5439379811286926, 0.2572171092033386, 0.017033696174621582]","[0.5338044166564941, 0.48893699049949646, -0.025092775002121925]"
"[0.5874262452125549, 0.3339935541152954, 0.02777019888162613]","[0.6150780320167542, 0.32810527086257935, 0.020741432905197144]","[0.6283164024353027, 0.3282606601715088, 0.021633682772517204]","[0.6416786313056946, 0.3301464021205902, 0.02546897530555725]","[0.6595883369445801, 0.335990846157074, 0.042885176837444305]","[0.6388603448867798, 0.33894312381744385, 0.02638421766459942]","[0.6250758767127991, 0.3390733301639557, 0.02200670726597309]","[0.6116398572921753, 0.3380914628505707, 0.02125856839120388]","[0.49277082085609436, 0.33239415287971497, 0.026151452213525772]","[0.46599826216697693, 0.3256782293319702, 0.01828109845519066]","[0.4529419541358948, 0.32538121938705444, 0.018723394721746445]","[0.4394134283065796, 0.32682889699935913, 0.022124215960502625]","[0.4207020401954651, 0.33205199241638184, 0.03896019607782364]","[0.4417908787727356, 0.33566227555274963, 0.023177167400717735]","[0.4554567337036133, 0.33624267578125, 0.019268101081252098]","[0.46871551871299744, 0.33569687604904175, 0.018910381942987442]","[0.4733896553516388, 0.42317965626716614, -0.014920726418495178]","[0.5194953680038452, 0.42263978719711304, -0.039509136229753494]","[0.552253246307373, 0.4232907295227051, -0.03875577077269554]","[0.5981534123420715, 0.42576897144317627, -0.01276460662484169]","[0.5524507761001587, 0.4234292209148407, -0.04049660637974739]","[0.5191323161125183, 0.4227437376976013, -0.0411052443087101]","[0.5431035757064819, 0.25696155428886414, 0.020111802965402603]","[0.5326632857322693, 0.4889132082462311, -0.028366081416606903]"
"[0.5874364972114563, 0.33349379897117615, 0.027113569900393486]","[0.6150190234184265, 0.3277151584625244, 0.019984504207968712]","[0.6282419562339783, 0.3278658986091614, 0.02087952010333538]","[0.6415925621986389, 0.3297271132469177, 0.02472551353275776]","[0.6594977378845215, 0.33545568585395813, 0.042165908962488174]","[0.6387004852294922, 0.33835187554359436, 0.02576238103210926]","[0.6249241232872009, 0.33848124742507935, 0.021404307335615158]","[0.611534059047699, 0.3375113010406494, 0.020643578842282295]","[0.4928346872329712, 0.3319384455680847, 0.025629816576838493]","[0.46608874201774597, 0.32530784606933594, 0.017704101279377937]","[0.45303875207901, 0.32501548528671265, 0.018169501796364784]","[0.4395334720611572, 0.32645508646965027, 0.021618623286485672]","[0.4208546280860901, 0.3315991759300232, 0.038504909723997116]","[0.4419631361961365, 0.3351839780807495, 0.022784002125263214]","[0.45560353994369507, 0.3357596695423126, 0.018882252275943756]","[0.46884647011756897, 0.3352038860321045, 0.018471650779247284]","[0.4736124873161316, 0.4226987659931183, -0.01429593563079834]","[0.5193966627120972, 0.42193707823753357, -0.0392540767788887]","[0.5520045161247253, 0.4225379526615143, -0.038557637482881546]","[0.5976288914680481, 0.4250797927379608, -0.012230250053107738]","[0.5521933436393738, 0.42307907342910767, -0.03994709998369217]","[0.518943727016449, 0.42244309186935425, -0.040510475635528564]","[0.5433059334754944, 0.25674495100975037, 0.018447628244757652]","[0.5324822664260864, 0.48862603306770325, -0.02644074149429798]"
"[0.5877676606178284, 0.33337515592575073, 0.027565347030758858]","[0.6154924035072327, 0.3274235129356384, 0.020550742745399475]","[0.6288007497787476, 0.3275602161884308, 0.021475953981280327]","[0.6422280669212341, 0.32944539189338684, 0.025368928909301758]","[0.6601021885871887, 0.3353051543235779, 0.04287410527467728]","[0.639289140701294, 0.338296115398407, 0.026316052302718163]","[0.625474214553833, 0.3384254574775696, 0.021910889074206352]","[0.6120116710662842, 0.3374484181404114, 0.02111639268696308]","[0.4927219748497009, 0.33175891637802124, 0.02577655017375946]","[0.46583235263824463, 0.3249222934246063, 0.017812928184866905]","[0.45267441868782043, 0.32459256052970886, 0.01824370212852955]","[0.4390575885772705, 0.32603979110717773, 0.021659690886735916]","[0.4203048646450043, 0.3313015103340149, 0.038529012352228165]","[0.4415155053138733, 0.3350151777267456, 0.022763287648558617]","[0.45523956418037415, 0.33560219407081604, 0.018874581903219223]","[0.4685617983341217, 0.3350512385368347, 0.018517814576625824]","[0.4735191762447357, 0.4227937161922455, -0.014847861602902412]","[0.5196154713630676, 0.4220617711544037, -0.03970276191830635]","[0.5523052215576172, 0.4226931035518646, -0.03886725753545761]","[0.5979351997375488, 0.4253014624118805, -0.012361645698547363]","[0.5524943470954895, 0.42329052090644836, -0.040311235934495926]","[0.5190936923027039, 0.4226231575012207, -0.04101276770234108]","[0.5435404777526855, 0.2565412223339081, 0.019164349883794785]","[0.5326213836669922, 0.4887211322784424, -0.026945894584059715]"
"[0.5877516269683838, 0.33317530155181885, 0.02732924185693264]","[0.6154305338859558, 0.3273463547229767, 0.020244445651769638]","[0.6287328004837036, 0.32747432589530945, 0.02117055654525757]","[0.6421728134155273, 0.3293311893939972, 0.0250479094684124]","[0.6601104736328125, 0.33510342240333557, 0.04254736006259918]","[0.6392510533332825, 0.33806681632995605, 0.026029035449028015]","[0.6254273056983948, 0.3381837010383606, 0.021633340045809746]","[0.6119792461395264, 0.3372103273868561, 0.02085750177502632]","[0.4925024211406708, 0.3316190242767334, 0.02571577951312065]","[0.46563997864723206, 0.32496878504753113, 0.017765870317816734]","[0.45251017808914185, 0.32466089725494385, 0.01822616346180439]","[0.43890896439552307, 0.3261026442050934, 0.021676985546946526]","[0.42016661167144775, 0.3312951624393463, 0.03858958184719086]","[0.44139230251312256, 0.3349214792251587, 0.022805925458669662]","[0.4551098942756653, 0.33547425270080566, 0.018900198861956596]","[0.4684079885482788, 0.3349045217037201, 0.018504982814192772]","[0.4737188220024109, 0.42250972986221313, -0.01468716748058796]","[0.5195850133895874, 0.4217287600040436, -0.03967256471514702]","[0.552238404750824, 0.4223393499851227, -0.0388961136341095]","[0.5977261662483215, 0.42493826150894165, -0.012361318804323673]","[0.552449107170105, 0.4230777621269226, -0.04029092937707901]","[0.5190664529800415, 0.42243510484695435, -0.04093915596604347]","[0.5430852770805359, 0.256630003452301, 0.018783381208777428]","[0.5330368876457214, 0.48868536949157715, -0.026323704048991203]"
