left_eye_263,left_eye_387,left_eye_385,left_eye_362,left_eye_380,left_eye_373,right_eye_133,right_eye_158,right_eye_160,right_eye_33,right_eye_144,right_eye_153,right_eye_144,mouth_78,mouth_82,mouth_312,mouth_308,mouth_317,mouth_87,head_10,head_152
"[0.7275515198707581, 0.49438175559043884, 0.06664898246526718]","[0.7100256681442261, 0.48961591720581055, 0.04878539592027664]","[0.6852991580963135, 0.4880526065826416, 0.04155963659286499]","[0.6596587300300598, 0.4919004440307617, 0.04483790323138237]","[0.682654082775116, 0.4957939088344574, 0.04035769775509834]","[0.7087687253952026, 0.496590256690979, 0.048108018934726715]","[0.5683963894844055, 0.48979538679122925, 0.03058624640107155]","[0.541957437992096, 0.48445025086402893, 0.02117753028869629]","[0.5157526731491089, 0.48500263690948486, 0.021541466936469078]","[0.4945935010910034, 0.4891633987426758, 0.034808289259672165]","[0.5173951387405396, 0.4926333427429199, 0.021390510722994804]","[0.5445762872695923, 0.4927215278148651, 0.020351825281977654]","[0.5173951387405396, 0.4926333427429199, 0.021390510722994804]","[0.5500450134277344, 0.5820316672325134, -0.03246033191680908]","[0.6028039455413818, 0.5770615935325623, -0.05332638695836067]","[0.6367740035057068, 0.5771656036376953, -0.048793237656354904]","[0.6794373989105225, 0.5823268294334412, -0.015792522579431534]","[0.6379797458648682, 0.5788707733154297, -0.051667653024196625]","[0.6031373739242554, 0.5786431431770325, -0.05667514726519585]","[0.6200281381607056, 0.4228445887565613, 0.048148781061172485]","[0.6130799055099487, 0.655754804611206, -0.05421150475740433]"
"[0.7281847596168518, 0.4910646975040436, 0.061634209007024765]","[0.7103288173675537, 0.48530513048171997, 0.042772769927978516]","[0.6857908368110657, 0.48356685042381287, 0.03534754365682602]","[0.6600145101547241, 0.4885759949684143, 0.039717644453048706]","[0.6843987703323364, 0.492891788482666, 0.035371292382478714]","[0.7103222012519836, 0.4935096204280853, 0.04314742982387543]","[0.570095956325531, 0.4859606623649597, 0.026042018085718155]","[0.543949544429779, 0.4795406460762024, 0.016033463180065155]","[0.5181668400764465, 0.48031023144721985, 0.016863690689206123]","[0.49650269746780396, 0.4853200316429138, 0.03121951036155224]","[0.5177534818649292, 0.4887148141860962, 0.0176664050668478]","[0.5451562404632568, 0.48916134238243103, 0.01620999351143837]","[0.5177534818649292, 0.4887148141860962, 0.0176664050668478]","[0.5459414720535278, 0.5792149901390076, -0.024273572489619255]","[0.6024784445762634, 0.5758296251296997, -0.04849179834127426]","[0.6379570364952087, 0.5761305689811707, -0.0438443087041378]","[0.6833104491233826, 0.5800859332084656, -0.007956999354064465]","[0.6385647058486938, 0.576609194278717, -0.04656219109892845]","[0.6031178832054138, 0.5763051509857178, -0.05179871618747711]","[0.6203808784484863, 0.4074585437774658, 0.032087020576000214]","[0.6141153573989868, 0.6541193723678589, -0.04475468397140503]"
"[0.7251023054122925, 0.49103060364723206, 0.062311213463544846]","[0.7067707777023315, 0.4857356548309326, 0.043846335262060165]","[0.6826603412628174, 0.4840633273124695, 0.03660695254802704]","[0.6575846672058105, 0.4884936809539795, 0.04080307483673096]","[0.6814109683036804, 0.4925704002380371, 0.03637270629405975]","[0.7071493864059448, 0.4930779039859772, 0.04382438585162163]","[0.5687742233276367, 0.4862917959690094, 0.027996908873319626]","[0.5425567626953125, 0.4807676076889038, 0.01837214268743992]","[0.5177755355834961, 0.48179253935813904, 0.019318975508213043]","[0.496499240398407, 0.48638805747032166, 0.03355437517166138]","[0.517641544342041, 0.4892409145832062, 0.019838601350784302]","[0.5444428324699402, 0.4894971251487732, 0.01834559068083763]","[0.517641544342041, 0.4892409145832062, 0.019838601350784302]","[0.5444774031639099, 0.5791744589805603, -0.025841301307082176]","[0.5998374819755554, 0.5751673579216003, -0.05010700970888138]","[0.6360184550285339, 0.5754699110984802, -0.04549017548561096]","[0.6809911131858826, 0.5800316333770752, -0.010293579660356045]","[0.6359991431236267, 0.5760297179222107, -0.048699457198381424]","[0.6006083488464355, 0.5758464336395264, -0.053771890699863434]","[0.6169642806053162, 0.40559983253479004, 0.03765901178121567]","[0.6126791834831238, 0.6566124558448792, -0.05061499774456024]"
"[0.7246794700622559, 0.4908900856971741, 0.06059320643544197]","[0.7062742710113525, 0.4856610894203186, 0.04222206398844719]","[0.6822759509086609, 0.48400604724884033, 0.035180363804101944]","[0.6572934985160828, 0.48841872811317444, 0.03959337994456291]","[0.6809520721435547, 0.49234679341316223, 0.03510225564241409]","[0.7065821886062622, 0.49281027913093567, 0.04238114506006241]","[0.5689607858657837, 0.48633286356925964, 0.027525627985596657]","[0.5429403185844421, 0.4808870851993561, 0.0179540254175663]","[0.5183432102203369, 0.4819355010986328, 0.019062897190451622]","[0.4971945583820343, 0.486527681350708, 0.03340179845690727]","[0.5182336568832397, 0.48921120166778564, 0.01975134201347828]","[0.5448347330093384, 0.4894600808620453, 0.018083810806274414]","[0.5182336568832397, 0.48921120166778564, 0.01975134201347828]","[0.5446486473083496, 0.5793416500091553, -0.02427664026618004]","[0.5995845794677734, 0.5755235552787781, -0.04889339208602905]","[0.6358718872070312, 0.5757752656936646, -0.04452011361718178]","[0.6810627579689026, 0.5799731612205505, -0.009598243050277233]","[0.6357439160346985, 0.5761316418647766, -0.047922831028699875]","[0.6004339456558228, 0.5759910941123962, -0.05275601148605347]","[0.6166236996650696, 0.4049900472164154, 0.035340502858161926]","[0.6129679679870605, 0.6572752594947815, -0.04888347163796425]"
"[0.7244719862937927, 0.490655779838562, 0.05965272709727287]","[0.7059757113456726, 0.4855092763900757, 0.04141746088862419]","[0.6820892691612244, 0.4839102029800415, 0.03449515253305435]","[0.6572510600090027, 0.48829349875450134, 0.03899672254920006]","[0.6807889342308044, 0.49212929606437683, 0.034465741366147995]","[0.7063451409339905, 0.49256402254104614, 0.04162890464067459]","[0.569083571434021, 0.48631972074508667, 0.027369333431124687]","[0.5432125329971313, 0.480977326631546, 0.017863869667053223]","[0.5187429189682007, 0.4820326268672943, 0.019057078287005424]","[0.49761781096458435, 0.48658230900764465, 0.033395592123270035]","[0.5186443328857422, 0.48919355869293213, 0.019819460809230804]","[0.5451056957244873, 0.48941770195961, 0.018068091943860054]","[0.5186443328857422, 0.48919355869293213, 0.019819460809230804]","[0.5447555184364319, 0.5792399644851685, -0.023496322333812714]","[0.5994495153427124, 0.5754610300064087, -0.04829474538564682]","[0.6358399987220764, 0.5757103562355042, -0.044048380106687546]","[0.6810865998268127, 0.5798619985580444, -0.009253635071218014]","[0.6356297731399536, 0.5760822296142578, -0.04748370870947838]","[0.6003468036651611, 0.5759498476982117, -0.052189815789461136]","[0.6163512468338013, 0.4044342041015625, 0.03440133482217789]","[0.6134955286979675, 0.6572273969650269, -0.04818510264158249]"
"[0.7235233783721924, 0.4908134341239929, 0.0606059804558754]","[0.7052661180496216, 0.4857204556465149, 0.04230977222323418]","[0.6815817952156067, 0.4840710163116455, 0.035156384110450745]","[0.6569126844406128, 0.48836809396743774, 0.03941641002893448]","[0.6802095174789429, 0.4921896457672119, 0.03514440730214119]","[0.7055650949478149, 0.4926534593105316, 0.0425078384578228]","[0.5690512657165527, 0.48619306087493896, 0.026702245697379112]","[0.5433222055435181, 0.4808898866176605, 0.016978075727820396]","[0.5190064907073975, 0.48192447423934937, 0.01789817214012146]","[0.49788883328437805, 0.48636969923973083, 0.03189709410071373]","[0.5190468430519104, 0.4889969527721405, 0.018682466819882393]","[0.5453155040740967, 0.48921090364456177, 0.01722826436161995]","[0.5190468430519104, 0.4889969527721405, 0.018682466819882393]","[0.5463312864303589, 0.5793322324752808, -0.024644777178764343]","[0.6003531813621521, 0.5753195881843567, -0.048356443643569946]","[0.6359809041023254, 0.5755466818809509, -0.04380160942673683]","[0.6798948049545288, 0.5798715949058533, -0.009186165407299995]","[0.6358158588409424, 0.5760696530342102, -0.04713423550128937]","[0.6011674404144287, 0.5759551525115967, -0.05218524485826492]","[0.616725742816925, 0.4047836661338806, 0.03445448726415634]","[0.613747239112854, 0.6572211384773254, -0.047467418015003204]"
"[0.7232924699783325, 0.4907648265361786, 0.06088627874851227]","[0.7050802707672119, 0.4855443239212036, 0.04265103116631508]","[0.6814182996749878, 0.48392829298973083, 0.03549207001924515]","[0.6567855477333069, 0.488383412361145, 0.039641574025154114]","[0.6801061630249023, 0.49223077297210693, 0.03539271652698517]","[0.7054266333580017, 0.4926685094833374, 0.042758338153362274]","[0.5693600177764893, 0.48625755310058594, 0.026822159066796303]","[0.5436006188392639, 0.48079153895378113, 0.01716362126171589]","[0.5193240642547607, 0.48182275891304016, 0.01804238371551037]","[0.49825435876846313, 0.48639604449272156, 0.031996097415685654]","[0.5193155407905579, 0.48905423283576965, 0.018750222399830818]","[0.5455976724624634, 0.4893030524253845, 0.01731172390282154]","[0.5193155407905579, 0.48905423283576965, 0.018750222399830818]","[0.5457786917686462, 0.5791959762573242, -0.024708092212677002]","[0.6002392172813416, 0.5753027200698853, -0.04862653464078903]","[0.6360427737236023, 0.5755630731582642, -0.043984655290842056]","[0.6801632642745972, 0.5798710584640503, -0.009096823632717133]","[0.6358911991119385, 0.5760436654090881, -0.04735385626554489]","[0.6010985374450684, 0.5759086608886719, -0.05250317230820656]","[0.6165653467178345, 0.4047587513923645, 0.03506177291274071]","[0.6137276887893677, 0.6576488018035889, -0.04833425208926201]"
"[0.7231807708740234, 0.49087610840797424, 0.06121543422341347]","[0.7050082087516785, 0.48563697934150696, 0.042961686849594116]","[0.6813716888427734, 0.4840109944343567, 0.035755839198827744]","[0.6567232012748718, 0.48846152424812317, 0.03984452784061432]","[0.6800575852394104, 0.49232226610183716, 0.03563343361020088]","[0.7053650617599487, 0.4927682876586914, 0.043047334998846054]","[0.5693628191947937, 0.48632919788360596, 0.026806624606251717]","[0.5435879826545715, 0.4808681905269623, 0.01711050420999527]","[0.519307553768158, 0.4818999469280243, 0.01793164201080799]","[0.4981954097747803, 0.486467570066452, 0.03183286637067795]","[0.519291877746582, 0.48912036418914795, 0.01862862892448902]","[0.5455992221832275, 0.48936977982521057, 0.017238756641745567]","[0.519291877746582, 0.48912036418914795, 0.01862862892448902]","[0.5458333492279053, 0.5792640447616577, -0.024988150224089622]","[0.600426197052002, 0.5753493309020996, -0.048734504729509354]","[0.6362072229385376, 0.5756242275238037, -0.04401029646396637]","[0.6801671981811523, 0.5799822807312012, -0.009084940887987614]","[0.6359815001487732, 0.5760616660118103, -0.047367483377456665]","[0.6012451648712158, 0.5759118795394897, -0.052607856690883636]","[0.6165680289268494, 0.4047379195690155, 0.035308510065078735]","[0.6137439012527466, 0.6578050255775452, -0.04861360788345337]"
"[0.7233415842056274, 0.49091681838035583, 0.061257075518369675]","[0.705212414264679, 0.4856100082397461, 0.04296815022826195]","[0.6815049648284912, 0.48397690057754517, 0.03572862222790718]","[0.6568349003791809, 0.4885353147983551, 0.039783917367458344]","[0.6802040934562683, 0.4923868477344513, 0.03560672700405121]","[0.7055239081382751, 0.4928271770477295, 0.04305383563041687]","[0.5694215297698975, 0.48640209436416626, 0.02661316841840744]","[0.5435736775398254, 0.48082417249679565, 0.016881810501217842]","[0.5191978216171265, 0.48185494542121887, 0.017666775733232498]","[0.4981064200401306, 0.48648694157600403, 0.03157412260770798]","[0.5192431807518005, 0.489176869392395, 0.01838231459259987]","[0.5456076264381409, 0.48943454027175903, 0.01701458729803562]","[0.5192431807518005, 0.489176869392395, 0.01838231459259987]","[0.5458776950836182, 0.5793461203575134, -0.02488928660750389]","[0.6005445122718811, 0.5754814147949219, -0.048684585839509964]","[0.6363164186477661, 0.5757570266723633, -0.04390071704983711]","[0.6802510023117065, 0.5800846815109253, -0.008832833729684353]","[0.636107325553894, 0.5762409567832947, -0.04718726500868797]","[0.6013643145561218, 0.5760864615440369, -0.05248871073126793]","[0.6166858673095703, 0.4048460125923157, 0.034893155097961426]","[0.6137388944625854, 0.657944917678833, -0.04818076640367508]"
"[0.7233216166496277, 0.49103519320487976, 0.06144768372178078]","[0.7052250504493713, 0.48579445481300354, 0.04308580979704857]","[0.681561291217804, 0.48415207862854004, 0.035797011107206345]","[0.6568829417228699, 0.48858946561813354, 0.039833541959524155]","[0.6802041530609131, 0.4924342632293701, 0.035706233233213425]","[0.7055151462554932, 0.49289408326148987, 0.04319532960653305]","[0.5694280862808228, 0.4864450991153717, 0.026478121057152748]","[0.5435377955436707, 0.48096340894699097, 0.016675900667905807]","[0.519198477268219, 0.4820057153701782, 0.017432669177651405]","[0.4981226623058319, 0.4865747094154358, 0.03135184571146965]","[0.5192601680755615, 0.48922041058540344, 0.01818007603287697]","[0.5456379055976868, 0.4894683361053467, 0.016851315274834633]","[0.5192601680755615, 0.48922041058540344, 0.01818007603287697]","[0.5457913875579834, 0.5793704986572266, -0.024983109906315804]","[0.6005398631095886, 0.5755223631858826, -0.04865473136305809]","[0.6363224983215332, 0.5757917761802673, -0.043801020830869675]","[0.6802212595939636, 0.5800797939300537, -0.008697396144270897]","[0.6360936760902405, 0.5761814117431641, -0.04705962538719177]","[0.6013615727424622, 0.5760346055030823, -0.05243004113435745]","[0.6167948246002197, 0.4049120545387268, 0.03481341525912285]","[0.6136165857315063, 0.6580356359481812, -0.048163216561079025]"
