left_eye_362,left_eye_385,left_eye_386,left_eye_387,left_eye_263,left_eye_373,left_eye_374,left_eye_380,right_eye_133,right_eye_158,right_eye_159,right_eye_160,right_eye_33,right_eye_144,right_eye_145,right_eye_153,mouth_78,mouth_82,mouth_312,mouth_308,mouth_317,mouth_87,head_10,head_152
"[0.6646251082420349, 0.49122342467308044, 0.042070236057043076]","[0.6911622285842896, 0.48700129985809326, 0.03900520130991936]","[0.7042340040206909, 0.48717764019966125, 0.041580017656087875]","[0.7173852920532227, 0.4889141023159027, 0.046829696744680405]","[0.734574556350708, 0.4947465658187866, 0.06569688022136688]","[0.715199887752533, 0.4972896873950958, 0.046380698680877686]","[0.7016228437423706, 0.4970621168613434, 0.04058678448200226]","[0.6883764266967773, 0.4957648813724518, 0.03813846781849861]","[0.5689529180526733, 0.4878947138786316, 0.025466347113251686]","[0.5410217046737671, 0.48137035965919495, 0.015224620699882507]","[0.5275789499282837, 0.48081666231155396, 0.013896053656935692]","[0.5131202936172485, 0.4818471372127533, 0.015346958301961422]","[0.49158766865730286, 0.4866967797279358, 0.029173066839575768]","[0.5151858925819397, 0.49059122800827026, 0.015836413949728012]","[0.5299125909805298, 0.49129951000213623, 0.01355389691889286]","[0.5438264012336731, 0.4908961355686188, 0.015092679299414158]","[0.5506070256233215, 0.5795663595199585, -0.030139444395899773]","[0.6053440570831299, 0.5762854218482971, -0.05067691579461098]","[0.639382004737854, 0.5769497156143188, -0.04499473422765732]","[0.6825296878814697, 0.5821965932846069, -0.010486568324267864]","[0.6414657831192017, 0.5793277025222778, -0.04734361171722412]","[0.6056797504425049, 0.5784976482391357, -0.053423840552568436]","[0.6182697415351868, 0.4225761294364929, 0.0384066216647625]","[0.6176841259002686, 0.6525285840034485, -0.043291278183460236]"
"[0.661060631275177, 0.4898480176925659, 0.041578199714422226]","[0.6871886849403381, 0.4843609035015106, 0.0379580557346344]","[0.6998618841171265, 0.4843163788318634, 0.040427908301353455]","[0.7128268480300903, 0.4858923852443695, 0.04578740894794464]","[0.7307316660881042, 0.4918845295906067, 0.06492432206869125]","[0.7127681970596313, 0.495095431804657, 0.04557505249977112]","[0.6994794607162476, 0.49541372060775757, 0.039742037653923035]","[0.6861130595207214, 0.494467169046402, 0.03744223713874817]","[0.5685390830039978, 0.4875015914440155, 0.02609032765030861]","[0.5413151979446411, 0.48072144389152527, 0.016086304560303688]","[0.5284644365310669, 0.4802463948726654, 0.014877472072839737]","[0.5144741535186768, 0.4814179241657257, 0.01655680127441883]","[0.4924286901950836, 0.48656386137008667, 0.03056260012090206]","[0.514485239982605, 0.4905732572078705, 0.016904618591070175]","[0.5288527607917786, 0.49141448736190796, 0.0143594304099679]","[0.5427525639533997, 0.4909573197364807, 0.01579839177429676]","[0.5442019701004028, 0.580085813999176, -0.02674029767513275]","[0.6024207472801208, 0.5772520899772644, -0.050004880875349045]","[0.638677716255188, 0.5777329206466675, -0.044813983142375946]","[0.6841224431991577, 0.5816002488136292, -0.008674005046486855]","[0.6392733454704285, 0.5786185264587402, -0.04767498001456261]","[0.6026455760002136, 0.5781833529472351, -0.05330260097980499]","[0.6200255155563354, 0.4100840091705322, 0.036296263337135315]","[0.6132730841636658, 0.6522490978240967, -0.04692251607775688]"
"[0.6611635088920593, 0.4890251159667969, 0.04250286519527435]","[0.6881186366081238, 0.48291015625, 0.03896620124578476]","[0.7010266780853271, 0.4828703999519348, 0.041343580931425095]","[0.7140454053878784, 0.48459455370903015, 0.04672595486044884]","[0.731838583946228, 0.4910517930984497, 0.06586996465921402]","[0.713726282119751, 0.49422022700309753, 0.046193625777959824]","[0.7003188133239746, 0.49460530281066895, 0.040383558720350266]","[0.6866818070411682, 0.4936889708042145, 0.03821263462305069]","[0.5687698125839233, 0.48685866594314575, 0.02782965637743473]","[0.5408696532249451, 0.4795312285423279, 0.017985273152589798]","[0.5278399586677551, 0.4791083335876465, 0.016888270154595375]","[0.5139067769050598, 0.48046261072158813, 0.01868756301701069]","[0.4922662377357483, 0.486223429441452, 0.03300756961107254]","[0.5141412019729614, 0.4901597499847412, 0.01885146275162697]","[0.5285375118255615, 0.491006076335907, 0.016200417652726173]","[0.5426284074783325, 0.49049878120422363, 0.017521541565656662]","[0.5440540909767151, 0.5812551975250244, -0.028442397713661194]","[0.6017321348190308, 0.5778473019599915, -0.05159270390868187]","[0.6379914283752441, 0.5783318281173706, -0.04633592814207077]","[0.6841474175453186, 0.5828390121459961, -0.010859903879463673]","[0.638219952583313, 0.5788174271583557, -0.04928290843963623]","[0.6017529368400574, 0.5784014463424683, -0.05494687706232071]","[0.6189724206924438, 0.406570166349411, 0.039850685745477676]","[0.6142352819442749, 0.6551075577735901, -0.05087311938405037]"
"[0.660845935344696, 0.4891226589679718, 0.04060991480946541]","[0.687379002571106, 0.4832354784011841, 0.0366949588060379]","[0.700207531452179, 0.48316869139671326, 0.039032839238643646]","[0.7132131457328796, 0.4848266839981079, 0.04433573782444]","[0.7312895655632019, 0.49098318815231323, 0.06340684741735458]","[0.7128714323043823, 0.4940957725048065, 0.04412342980504036]","[0.6994591355323792, 0.4944528341293335, 0.03841468691825867]","[0.6859607100486755, 0.4935854375362396, 0.03631339594721794]","[0.5685285925865173, 0.4871383011341095, 0.02662486396729946]","[0.5408285856246948, 0.4802406430244446, 0.01672828011214733]","[0.5279686450958252, 0.47988784313201904, 0.015748701989650726]","[0.5141502618789673, 0.48122647404670715, 0.017617572098970413]","[0.4925130009651184, 0.4866864085197449, 0.03204945847392082]","[0.5145353078842163, 0.4904506206512451, 0.01811915449798107]","[0.5288606882095337, 0.49122369289398193, 0.015431893989443779]","[0.5427197217941284, 0.49067285656929016, 0.016633186489343643]","[0.544026792049408, 0.5810451507568359, -0.026557287201285362]","[0.600981593132019, 0.5777184963226318, -0.050030164420604706]","[0.6370871663093567, 0.5781921744346619, -0.045001320540905]","[0.6824501752853394, 0.5825193524360657, -0.009670968167483807]","[0.6370145082473755, 0.5788770318031311, -0.04788482189178467]","[0.6009333729743958, 0.5784867405891418, -0.05336758866906166]","[0.619379460811615, 0.40597501397132874, 0.035577740520238876]","[0.6125497817993164, 0.6553765535354614, -0.046624865382909775]"
"[0.660740315914154, 0.48902639746665955, 0.03989153727889061]","[0.6872598528862, 0.48324888944625854, 0.0358232744038105]","[0.7000241279602051, 0.4832087755203247, 0.038109809160232544]","[0.7129729986190796, 0.4848760664463043, 0.043350089341402054]","[0.7310167551040649, 0.4909716844558716, 0.06234901770949364]","[0.7125434279441833, 0.4940217137336731, 0.04325217008590698]","[0.6991471648216248, 0.4943697452545166, 0.03761718049645424]","[0.6856876611709595, 0.4934879541397095, 0.035556212067604065]","[0.5688418745994568, 0.4870150685310364, 0.02639678679406643]","[0.5411718487739563, 0.48018160462379456, 0.016534915193915367]","[0.5283614993095398, 0.47983917593955994, 0.015611505135893822]","[0.5146081447601318, 0.4811604917049408, 0.017523320391774178]","[0.4930502474308014, 0.4865337908267975, 0.032036200165748596]","[0.5150059461593628, 0.49027860164642334, 0.0181170292198658]","[0.5293028950691223, 0.4910644590854645, 0.015410995110869408]","[0.5431321859359741, 0.4905166029930115, 0.016529325395822525]","[0.5432897806167603, 0.5809288024902344, -0.025766737759113312]","[0.600220799446106, 0.5777435898780823, -0.049356672912836075]","[0.6362410187721252, 0.5782681703567505, -0.04442978277802467]","[0.6814857125282288, 0.5825815200805664, -0.009300554171204567]","[0.6359764933586121, 0.5788878798484802, -0.047270696610212326]","[0.6000246405601501, 0.5784531831741333, -0.0526532344520092]","[0.6200408935546875, 0.4059298038482666, 0.03429849073290825]","[0.6111501455307007, 0.6556922793388367, -0.045605529099702835]"
"[0.6615617275238037, 0.48916488885879517, 0.04008495435118675]","[0.687772274017334, 0.48357313871383667, 0.036327432841062546]","[0.7004091143608093, 0.48355233669281006, 0.03875591233372688]","[0.7132441997528076, 0.4852084219455719, 0.0441388376057148]","[0.731124997138977, 0.49129149317741394, 0.06326905637979507]","[0.7129467725753784, 0.49425917863845825, 0.044068481773138046]","[0.6996941566467285, 0.4945816397666931, 0.03834079951047897]","[0.6863365173339844, 0.49368464946746826, 0.03610529750585556]","[0.5703656077384949, 0.48703426122665405, 0.025261791422963142]","[0.5429215431213379, 0.48036977648735046, 0.015068912878632545]","[0.530265212059021, 0.48006317019462585, 0.013999076560139656]","[0.5165740251541138, 0.481387734413147, 0.01575440913438797]","[0.4948359727859497, 0.4866848886013031, 0.02999287284910679]","[0.5168033242225647, 0.49027523398399353, 0.01645789109170437]","[0.5310502052307129, 0.4910504221916199, 0.013918722979724407]","[0.5447838306427002, 0.49051082134246826, 0.015194146893918514]","[0.5435563325881958, 0.5810151100158691, -0.025933148339390755]","[0.6012546420097351, 0.5780806541442871, -0.049216434359550476]","[0.6372836828231812, 0.5786914229393005, -0.04372580349445343]","[0.6820162534713745, 0.5830087661743164, -0.007719871122390032]","[0.6370431184768677, 0.5794967412948608, -0.04652722179889679]","[0.6009532809257507, 0.578993022441864, -0.05253833532333374]","[0.6212092638015747, 0.4058689475059509, 0.03357889875769615]","[0.6124985218048096, 0.6562057733535767, -0.04482092708349228]"
"[0.6612929701805115, 0.48903676867485046, 0.04071870073676109]","[0.6874659657478333, 0.48334014415740967, 0.03712400048971176]","[0.7000612020492554, 0.4832955300807953, 0.039546143263578415]","[0.7128442525863647, 0.48494836688041687, 0.044903550297021866]","[0.7306634187698364, 0.4910946786403656, 0.06388998031616211]","[0.7125672698020935, 0.4940839409828186, 0.04467127472162247]","[0.6993523836135864, 0.4944103956222534, 0.03895542025566101]","[0.6860327124595642, 0.49352529644966125, 0.03672245144844055]","[0.5705230236053467, 0.48698756098747253, 0.025771426036953926]","[0.5431684851646423, 0.48023390769958496, 0.015700457617640495]","[0.5305749773979187, 0.4799184799194336, 0.01460334938019514]","[0.5169267654418945, 0.48125919699668884, 0.01629485748708248]","[0.49522578716278076, 0.4866504967212677, 0.03036978840827942]","[0.517142117023468, 0.4902191162109375, 0.01686735637485981]","[0.531353235244751, 0.49098601937294006, 0.014342830516397953]","[0.5450435280799866, 0.4904544949531555, 0.015669086948037148]","[0.5436978936195374, 0.5805579423904419, -0.02647329680621624]","[0.6014121770858765, 0.5775565505027771, -0.04961619898676872]","[0.6376513242721558, 0.5781676769256592, -0.04409480839967728]","[0.6825129389762878, 0.5825431942939758, -0.00817332323640585]","[0.637401282787323, 0.5789376497268677, -0.04712405800819397]","[0.6012441515922546, 0.5784400701522827, -0.053155411034822464]","[0.6207555532455444, 0.40575864911079407, 0.03533540666103363]","[0.6131581664085388, 0.6559978127479553, -0.04678253456950188]"
"[0.6610152721405029, 0.4890427589416504, 0.04057461395859718]","[0.6871848702430725, 0.48341652750968933, 0.036954116076231]","[0.6997581720352173, 0.4833955466747284, 0.039369434118270874]","[0.7125029563903809, 0.4850621521472931, 0.04472129046916962]","[0.7302911877632141, 0.49119263887405396, 0.06369484215974808]","[0.7122525572776794, 0.4941355884075165, 0.04452253505587578]","[0.6990668773651123, 0.4944610595703125, 0.03881728649139404]","[0.6857554316520691, 0.4935699701309204, 0.03659114986658096]","[0.5705329179763794, 0.4869135022163391, 0.02569570578634739]","[0.5432246327400208, 0.48018938302993774, 0.01561441645026207]","[0.5306509137153625, 0.4798751771450043, 0.014527304098010063]","[0.5170281529426575, 0.48120591044425964, 0.016223283484578133]","[0.4953539967536926, 0.48655810952186584, 0.03028203547000885]","[0.5171915888786316, 0.4901294410228729, 0.016813743859529495]","[0.531373143196106, 0.4909094572067261, 0.01429775357246399]","[0.545048713684082, 0.4903859794139862, 0.015616264194250107]","[0.543549656867981, 0.5808683037757874, -0.026301277801394463]","[0.6012902855873108, 0.5778587460517883, -0.04951654374599457]","[0.6374847292900085, 0.5784856677055359, -0.0440170019865036]","[0.6824231743812561, 0.5828940272331238, -0.008067641407251358]","[0.6372288465499878, 0.5793054699897766, -0.0470222570002079]","[0.601045548915863, 0.5787886381149292, -0.053041547536849976]","[0.6207684874534607, 0.40572652220726013, 0.03514942154288292]","[0.6128051280975342, 0.6562135815620422, -0.046522583812475204]"
"[0.6610973477363586, 0.48904091119766235, 0.04071982204914093]","[0.6872687935829163, 0.4833422601222992, 0.0371389277279377]","[0.6998605132102966, 0.4833059310913086, 0.03955454006791115]","[0.7126262784004211, 0.4849679172039032, 0.04490413889288902]","[0.7304012179374695, 0.4911366105079651, 0.06386233866214752]","[0.7123449444770813, 0.4941018521785736, 0.044658854603767395]","[0.6991473436355591, 0.4944309890270233, 0.03895093873143196]","[0.6858327388763428, 0.49354809522628784, 0.036726005375385284]","[0.5705674886703491, 0.48693832755088806, 0.025806335732340813]","[0.5432455539703369, 0.4801517426967621, 0.015756452456116676]","[0.5306651592254639, 0.47983017563819885, 0.014661240391433239]","[0.5170334577560425, 0.481170654296875, 0.016347046941518784]","[0.49538320302963257, 0.48656895756721497, 0.030383139848709106]","[0.5172314643859863, 0.49013981223106384, 0.016905605792999268]","[0.5314152836799622, 0.49091818928718567, 0.014386218972504139]","[0.5450913906097412, 0.4904004633426666, 0.015712695196270943]","[0.543630063533783, 0.5807878971099854, -0.02636251039803028]","[0.6013880968093872, 0.5777491331100464, -0.04963886737823486]","[0.6377069354057312, 0.5783690214157104, -0.044129859656095505]","[0.6826849579811096, 0.5827964544296265, -0.008117910474538803]","[0.6374568939208984, 0.5792596340179443, -0.0471610501408577]","[0.6011930704116821, 0.578749418258667, -0.05317937210202217]","[0.6206530928611755, 0.40584948658943176, 0.03545564413070679]","[0.613090455532074, 0.6562585830688477, -0.04684850946068764]"
"[0.66108638048172, 0.48894158005714417, 0.04059827700257301]","[0.6871896982192993, 0.4832952320575714, 0.036981891840696335]","[0.6997926235198975, 0.48324400186538696, 0.039409179240465164]","[0.7125728726387024, 0.4848689138889313, 0.04477627947926521]","[0.7304144501686096, 0.49092453718185425, 0.0637529268860817]","[0.7123453617095947, 0.4939201772212982, 0.04456412047147751]","[0.6991381645202637, 0.4942628741264343, 0.03885219991207123]","[0.6858213543891907, 0.4933988153934479, 0.03662155196070671]","[0.5703752636909485, 0.4869636297225952, 0.025643879547715187]","[0.5430194139480591, 0.48031651973724365, 0.015550934709608555]","[0.5304224491119385, 0.4800208806991577, 0.01446134876459837]","[0.5167955756187439, 0.48136335611343384, 0.01615116558969021]","[0.4951586127281189, 0.48669683933258057, 0.030196677893400192]","[0.517073392868042, 0.49024078249931335, 0.016742972657084465]","[0.5312680602073669, 0.4909903407096863, 0.014223367907106876]","[0.5449362993240356, 0.49044808745384216, 0.015550770796835423]","[0.5444203615188599, 0.5810196995735168, -0.02642141841351986]","[0.6018722653388977, 0.5778307914733887, -0.049547240138053894]","[0.6379693150520325, 0.5783938765525818, -0.044056471437215805]","[0.6826999187469482, 0.5827972292900085, -0.008175953291356564]","[0.6378011703491211, 0.5793254971504211, -0.046919118613004684]","[0.6017023921012878, 0.5788728594779968, -0.05292148515582085]","[0.6202556490898132, 0.4058518409729004, 0.035100195556879044]","[0.6137546896934509, 0.656132161617279, -0.04621114209294319]"
