left_eye_263,left_eye_387,left_eye_385,left_eye_326,left_eye_380,left_eye_373,right_eye_33,right_eye_160,right_eye_158,right_eye_133,right_eye_153,right_eye_144,mouth_78,mouth_82,mouth_312,mouth_308,mouth_317,mouth_87,head_10,head_152
"[0.5024544596672058, 0.5060511231422424, 0.04772750660777092]","[0.5420217514038086, 0.49849677085876465, 0.04739988222718239]","[0.5760012269020081, 0.4995768368244171, 0.05468560755252838]","[0.5989193320274353, 0.5068723559379578, 0.07475197315216064]","[0.5721251964569092, 0.5119255781173706, 0.0528496578335762]","[0.538618803024292, 0.5111802816390991, 0.04497918114066124]","[0.38675785064697266, 0.506047785282135, 0.04118673875927925]","[0.35240840911865234, 0.4983888268470764, 0.032050833106040955]","[0.31784212589263916, 0.5001062750816345, 0.03379473835229874]","[0.2924533188343048, 0.5073028206825256, 0.050420407205820084]","[0.3221820890903473, 0.5121577978134155, 0.03260689601302147]","[0.35684141516685486, 0.5112167596817017, 0.029948364943265915]","[0.3677259385585785, 0.6321772336959839, -0.039458535611629486]","[0.4317554831504822, 0.6243946552276611, -0.06639587134122849]","[0.47244545817375183, 0.6240184903144836, -0.06295417994260788]","[0.5270606875419617, 0.630573034286499, -0.027180396020412445]","[0.47383326292037964, 0.6271952986717224, -0.06623059511184692]","[0.4293730854988098, 0.6275026798248291, -0.0701061263680458]","[0.44782358407974243, 0.4183758497238159, 0.06350649148225784]","[0.4479048550128937, 0.7154566645622253, -0.06332821398973465]"
"[0.5020105838775635, 0.5024778842926025, 0.05012298375368118]","[0.5407496690750122, 0.49270614981651306, 0.05091710388660431]","[0.574289858341217, 0.49370700120925903, 0.05824735015630722]","[0.5971649885177612, 0.5022509098052979, 0.07811698317527771]","[0.571890115737915, 0.508115828037262, 0.05582614243030548]","[0.5385392308235168, 0.5076813697814941, 0.047568369656801224]","[0.38820821046829224, 0.5017726421356201, 0.04267476871609688]","[0.3561861217021942, 0.4918335974216461, 0.03374311700463295]","[0.322433739900589, 0.49295175075531006, 0.03514780104160309]","[0.296796977519989, 0.5012345910072327, 0.050931416451931]","[0.32462015748023987, 0.5069649815559387, 0.03331535682082176]","[0.3583361804485321, 0.5066226720809937, 0.030892791226506233]","[0.36476555466651917, 0.6300604939460754, -0.040834542363882065]","[0.42783206701278687, 0.623721182346344, -0.06651072949171066]","[0.4683566093444824, 0.6237326264381409, -0.06258857250213623]","[0.5235844254493713, 0.6300956010818481, -0.026888912543654442]","[0.4689521789550781, 0.6249395608901978, -0.06602653115987778]","[0.426664799451828, 0.6249121427536011, -0.07011174410581589]","[0.45270925760269165, 0.40068915486335754, 0.06513040512800217]","[0.4432920515537262, 0.7150696516036987, -0.07005195319652557]"
"[0.5019035339355469, 0.5028235912322998, 0.05514635518193245]","[0.5415211915969849, 0.4928988814353943, 0.05659108608961105]","[0.5760476589202881, 0.493644118309021, 0.06444953382015228]","[0.6002039909362793, 0.5019912123680115, 0.08477126061916351]","[0.5745612978935242, 0.5082753896713257, 0.061208248138427734]","[0.5400201678276062, 0.5081542134284973, 0.0524703674018383]","[0.38410380482673645, 0.503322184085846, 0.046415917575359344]","[0.3506317734718323, 0.49374112486839294, 0.03749999776482582]","[0.3161230981349945, 0.4952145516872406, 0.03880203515291214]","[0.28922802209854126, 0.5036965608596802, 0.054492395371198654]","[0.31808316707611084, 0.50935959815979, 0.03606460988521576]","[0.3527925908565521, 0.5086597204208374, 0.03391838073730469]","[0.36692798137664795, 0.6319407224655151, -0.04934234917163849]","[0.4292018711566925, 0.6227981448173523, -0.07304146885871887]","[0.46912863850593567, 0.6224163174629211, -0.06870388984680176]","[0.5225542783737183, 0.630442202091217, -0.03364033252000809]","[0.4698599874973297, 0.6250802278518677, -0.07118092477321625]","[0.4281608760356903, 0.6254673600196838, -0.0756773054599762]","[0.4483664035797119, 0.396837055683136, 0.07759993523359299]","[0.4469761848449707, 0.7177222967147827, -0.07928164303302765]"
"[0.5004242658615112, 0.5028151273727417, 0.053364645689725876]","[0.5390836000442505, 0.49272722005844116, 0.054807424545288086]","[0.5729953050613403, 0.49344369769096375, 0.06261001527309418]","[0.5967739820480347, 0.5017892122268677, 0.08277560770511627]","[0.5715265274047852, 0.508024275302887, 0.059887710958719254]","[0.5374971628189087, 0.5079720616340637, 0.05109972879290581]","[0.3844956159591675, 0.503587007522583, 0.04423213005065918]","[0.35146355628967285, 0.494045615196228, 0.03504447638988495]","[0.3173919916152954, 0.49562498927116394, 0.03611138090491295]","[0.2903675436973572, 0.504095196723938, 0.05151159688830376]","[0.31942668557167053, 0.5095462203025818, 0.03393465280532837]","[0.353780061006546, 0.5088098049163818, 0.031885284930467606]","[0.3640344440937042, 0.6322299242019653, -0.04591628909111023]","[0.42778053879737854, 0.6230165958404541, -0.07066459208726883]","[0.4687587022781372, 0.6227397918701172, -0.06609492748975754]","[0.5219530463218689, 0.6310356259346008, -0.029483744874596596]","[0.4688348174095154, 0.6262879967689514, -0.06816595047712326]","[0.4265824556350708, 0.6266124844551086, -0.07286037504673004]","[0.4491322338581085, 0.39655137062072754, 0.07168719917535782]","[0.44431838393211365, 0.7206388711929321, -0.07464254647493362]"
"[0.4999145269393921, 0.502901554107666, 0.052194830030202866]","[0.5383949279785156, 0.4934498071670532, 0.05378792807459831]","[0.5722073912620544, 0.49411800503730774, 0.06231946870684624]","[0.5960333943367004, 0.501987874507904, 0.08328414708375931]","[0.5708809494972229, 0.5081445574760437, 0.06006552278995514]","[0.5368978381156921, 0.5080795884132385, 0.050745006650686264]","[0.3825048506259918, 0.5038561820983887, 0.04101789370179176]","[0.34917736053466797, 0.49503108859062195, 0.030764365568757057]","[0.3148610591888428, 0.4966733157634735, 0.03156188130378723]","[0.2871888279914856, 0.5047309398651123, 0.047149017453193665]","[0.3168855309486389, 0.5099677443504333, 0.029991036280989647]","[0.35171419382095337, 0.5090999007225037, 0.02831692062318325]","[0.36112314462661743, 0.6325708031654358, -0.04446771740913391]","[0.4271612763404846, 0.6233924031257629, -0.069712333381176]","[0.4692336320877075, 0.6231011152267456, -0.06416637450456619]","[0.5220776796340942, 0.6313141584396362, -0.02494041807949543]","[0.4693323075771332, 0.6274781227111816, -0.06537279486656189]","[0.4259893000125885, 0.6278287768363953, -0.07105111330747604]","[0.44768092036247253, 0.39592981338500977, 0.06595639139413834]","[0.44455820322036743, 0.7214165925979614, -0.06884270906448364]"
"[0.5017058253288269, 0.503271758556366, 0.053535621613264084]","[0.5403143763542175, 0.49315208196640015, 0.0549626499414444]","[0.5744045972824097, 0.49376770853996277, 0.0631929263472557]","[0.5982723832130432, 0.50205397605896, 0.0838678777217865]","[0.5728771090507507, 0.5083280205726624, 0.06051729992032051]","[0.5389082431793213, 0.5082821249961853, 0.05149068683385849]","[0.3821738660335541, 0.503848671913147, 0.043462544679641724]","[0.3488687574863434, 0.4940938651561737, 0.033724043518304825]","[0.31402844190597534, 0.4954826235771179, 0.03478008881211281]","[0.2863166630268097, 0.5040218234062195, 0.05043027177453041]","[0.3160701096057892, 0.5096821784973145, 0.03273789957165718]","[0.351033478975296, 0.5089719295501709, 0.030760541558265686]","[0.3636927604675293, 0.6327003836631775, -0.04638456925749779]","[0.4284951388835907, 0.623410701751709, -0.07132802903652191]","[0.4701635539531708, 0.6230534911155701, -0.06624015420675278]","[0.5225028395652771, 0.6311313509941101, -0.02829555980861187]","[0.47026342153549194, 0.6272714734077454, -0.06781703978776932]","[0.4274975657463074, 0.6276466846466064, -0.07300508767366409]","[0.4494776725769043, 0.3950008749961853, 0.06981279700994492]","[0.44462254643440247, 0.721121609210968, -0.07188373804092407]"
"[0.49921122193336487, 0.5030917525291443, 0.05278037115931511]","[0.5377301573753357, 0.4932181239128113, 0.054011307656764984]","[0.5716167092323303, 0.4938361644744873, 0.06202159821987152]","[0.5956302285194397, 0.5019476413726807, 0.08235551416873932]","[0.5702157020568848, 0.5082148909568787, 0.059384189546108246]","[0.5362929105758667, 0.5082266330718994, 0.050578773021698]","[0.3816834092140198, 0.5038571953773499, 0.04348260536789894]","[0.34848541021347046, 0.49439603090286255, 0.03400261700153351]","[0.31397610902786255, 0.49585089087486267, 0.03522694110870361]","[0.2863321900367737, 0.5042179822921753, 0.05077037587761879]","[0.31595367193222046, 0.5098249912261963, 0.033145759254693985]","[0.3507264256477356, 0.5090838074684143, 0.03110358491539955]","[0.36201542615890503, 0.6333510875701904, -0.045619625598192215]","[0.426663339138031, 0.6235605478286743, -0.07125044614076614]","[0.46836191415786743, 0.6231927871704102, -0.06639078259468079]","[0.520657479763031, 0.6317614912986755, -0.02827470190823078]","[0.46843838691711426, 0.6282488703727722, -0.06764187663793564]","[0.42550086975097656, 0.62864750623703, -0.0726206973195076]","[0.4475323259830475, 0.39517563581466675, 0.07012362033128738]","[0.44352662563323975, 0.7224892973899841, -0.07171624153852463]"
"[0.49977028369903564, 0.5031194090843201, 0.05387779697775841]","[0.5382967591285706, 0.4933519959449768, 0.055341947823762894]","[0.5720582604408264, 0.4939764738082886, 0.06340637058019638]","[0.5959895849227905, 0.5020323991775513, 0.08376031368970871]","[0.5706146955490112, 0.5081894993782043, 0.06058308854699135]","[0.5367419719696045, 0.5081464052200317, 0.05173134803771973]","[0.38163989782333374, 0.5037226676940918, 0.04425091668963432]","[0.348410427570343, 0.49420276284217834, 0.03481101244688034]","[0.31380289793014526, 0.49557381868362427, 0.03593944385647774]","[0.2860772907733917, 0.5039106011390686, 0.05140139162540436]","[0.31582728028297424, 0.5095162987709045, 0.03369777649641037]","[0.35072118043899536, 0.5087820887565613, 0.031735993921756744]","[0.36201855540275574, 0.6327236890792847, -0.04622044786810875]","[0.42701229453086853, 0.6229047775268555, -0.07192334532737732]","[0.4693908095359802, 0.6225488781929016, -0.06702190637588501]","[0.5224735736846924, 0.6310864686965942, -0.028651881963014603]","[0.4694236218929291, 0.6274284720420837, -0.06873755902051926]","[0.42607659101486206, 0.6278072595596313, -0.07377058267593384]","[0.44790083169937134, 0.39493438601493835, 0.07245457917451859]","[0.44419974088668823, 0.7218155860900879, -0.07460039854049683]"
"[0.4997291564941406, 0.5033931732177734, 0.05391153320670128]","[0.5383328199386597, 0.4936214089393616, 0.055261027067899704]","[0.5723506212234497, 0.49419668316841125, 0.06331757456064224]","[0.59665846824646, 0.5022612810134888, 0.08370929211378098]","[0.5711098909378052, 0.5085298418998718, 0.06050562113523483]","[0.5370224118232727, 0.5085065960884094, 0.05166715756058693]","[0.38073813915252686, 0.5042999982833862, 0.0445137657225132]","[0.34740370512008667, 0.49496689438819885, 0.03507208824157715]","[0.3126462697982788, 0.49643856287002563, 0.036303501576185226]","[0.284682035446167, 0.5048093199729919, 0.051928263157606125]","[0.3146119713783264, 0.5103574395179749, 0.03406444564461708]","[0.34966781735420227, 0.509518027305603, 0.0320020467042923]","[0.36211639642715454, 0.633561909198761, -0.04683380573987961]","[0.42673495411872864, 0.6233006715774536, -0.07266554236412048]","[0.4689329266548157, 0.6229308843612671, -0.06780640780925751]","[0.521528959274292, 0.6319291591644287, -0.02937573380768299]","[0.4690703749656677, 0.628517210483551, -0.06900673359632492]","[0.425699383020401, 0.6289247870445251, -0.07398468255996704]","[0.4467134177684784, 0.3951859772205353, 0.07289008051156998]","[0.4449629485607147, 0.7228990793228149, -0.07395696640014648]"
"[0.5010556578636169, 0.5036314129829407, 0.05418939143419266]","[0.5399167537689209, 0.49404802918434143, 0.055342528969049454]","[0.5738884210586548, 0.49471330642700195, 0.06317094713449478]","[0.5981893539428711, 0.5027738809585571, 0.08342507481575012]","[0.5724005699157715, 0.5088533163070679, 0.06025727838277817]","[0.5382999181747437, 0.508723258972168, 0.05165407061576843]","[0.38193586468696594, 0.5041120648384094, 0.04555453732609749]","[0.3487180471420288, 0.494582861661911, 0.036353595554828644]","[0.31393277645111084, 0.49586623907089233, 0.03776168078184128]","[0.28607892990112305, 0.5041728019714355, 0.05348622053861618]","[0.31576359272003174, 0.5097987651824951, 0.03539811819791794]","[0.3507835566997528, 0.5091100335121155, 0.03315417096018791]","[0.3611270785331726, 0.6326243281364441, -0.04607315734028816]","[0.42641404271125793, 0.62302565574646, -0.07252088934183121]","[0.46940678358078003, 0.6226903200149536, -0.0679977536201477]","[0.5239627957344055, 0.6310415267944336, -0.029815515503287315]","[0.4695265591144562, 0.6272398233413696, -0.07002630084753036]","[0.4255751371383667, 0.6275812387466431, -0.07471021264791489]","[0.4491836130619049, 0.39514148235321045, 0.07427791506052017]","[0.4437728822231293, 0.7210457921028137, -0.07664980739355087]"
